"Well ID","Well Label","Compound ID","Compound Name","Experiment","Dose [pM]","Dose Label","Start timestamp [µs]","Duration [µs]","Spike Count","Spike Frequency [Hz]"
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",208749400,401700,379,78.624
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",212567400,406300,372,76.298
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",216527500,362100,306,70.423
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",220678100,389900,359,76.729
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",224554400,313200,312,83.014
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",228328900,376700,327,72.339
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",232369600,411300,367,74.358
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",236196500,355700,356,83.404
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",239977100,396100,286,60.17
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",244454200,359900,275,63.675
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",248546300,357300,376,87.695
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",252377300,374800,289,64.256
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",256213700,384400,341,73.925
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",260168300,353900,335,78.883
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",263877800,390500,350,74.691
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",268115500,384700,387,83.832
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",271964200,365800,298,67.888
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",275938400,387000,296,63.738
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",280617500,402000,388,80.431
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",284483100,356800,323,75.439
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",288479900,394100,339,71.682
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",292594800,370400,317,71.319
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",296378800,111000,70,52.553
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",296508900,256500,159,51.657
"4","A5","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",2217800,172300,60,29.019
"4","A5","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",57950800,246200,104,35.202
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",1738900,278200,463,138.689
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",2157400,54500,87,133.028
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",6002800,227800,398,145.596
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",17481700,220000,385,145.833
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",17718800,48600,72,123.457
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",17843300,58400,90,128.425
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",24333000,258900,462,148.706
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",24617200,56000,87,129.464
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",24732000,53500,78,121.495
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",33015200,205000,394,160.163
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",33356000,47800,90,156.904
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",39646700,202900,425,174.552
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",39880200,60900,75,102.627
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",44568700,228300,423,154.402
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",50186600,282300,486,143.464
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",50506800,48100,80,138.6
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",61992200,239500,447,155.532
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",65569900,383800,578,125.499
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",66034400,45300,82,150.846
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",73280800,301100,496,137.274
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",77566000,250400,447,148.762
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",77940300,36800,76,172.101
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",88361400,241400,403,139.119
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",92824200,321600,548,141.998
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",93174700,49800,83,138.889
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",97770200,319700,485,126.421
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",98112000,39600,74,155.724
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",107746200,229300,442,160.634
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",108142600,55000,85,128.788
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",120571600,290100,475,136.447
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",120999600,42600,70,136.933
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",122823500,208200,378,151.297
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",123056800,44400,68,127.628
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",123383200,88700,84,78.918
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",123590600,60300,49,67.717
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",132926100,235300,433,153.35
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",139056500,327900,557,141.557
