"Channel ID","Channel Label","Well ID","Well Label","Compound ID","Compound Name","Experiment","Dose [pM]","Dose Label","Start timestamp [µs]","Duration [µs]","Spike Count","Spike Frequency [Hz]"
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",100408800,442400,34,74.593
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",104538600,312700,32,99.137
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",108288500,365100,37,98.603
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",112183000,295200,32,105.014
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",115815600,316600,28,85.281
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",119541600,488500,38,75.742
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",123336300,488200,39,77.837
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",127097500,423400,39,89.75
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",131021700,464000,36,75.431
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",134754600,395700,38,93.505
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",138488500,449300,33,71.222
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",142595500,408800,33,78.278
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",146435300,355700,26,70.284
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",150122000,369600,30,78.463
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",154231100,333600,39,113.909
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",157731400,148800,6,33.602
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",158127400,289000,37,124.567
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",161659200,327200,25,73.35
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",165355400,319500,29,87.637
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",169184600,418400,36,83.652
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",172882800,560500,30,51.74
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",176851200,319300,38,115.878
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",180818200,434000,27,59.908
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",184815000,338700,35,100.384
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",188881800,328700,42,124.734
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",192754700,442400,35,76.854
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",196474500,398800,32,77.733
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",200422600,475800,35,71.459
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",204468300,328200,24,70.079
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",208751100,400000,39,95
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",212479900,377000,31,79.576
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",216551200,329300,33,97.176
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",220687300,365600,38,101.204
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",224353800,594700,40,65.579
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",228208900,411000,31,72.993
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",232383800,322900,28,83.617
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",236140800,412700,30,70.269
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",239977100,410400,21,48.733
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",244309100,349200,17,45.819
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",248584700,342700,36,102.13
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",252132000,611300,30,47.44
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",256116600,422600,37,85.187
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",260137800,402700,34,81.947
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",263748500,558500,40,69.83
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",268138100,291100,34,113.363
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",271980700,394300,27,65.94
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",275787800,558800,30,51.897
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",280644400,344300,39,110.369
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",284452200,427200,34,77.247
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",288472800,406000,32,76.355
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",292608600,406400,33,78.74
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",296154000,638300,26,39.167
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",2373000,197700,16,75.873
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",6157000,228200,10,39.439
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",9783500,210400,12,52.281
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",13597000,239000,24,96.234
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",17281600,257600,15,54.348
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",20916200,212800,18,79.887
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",24728900,279600,15,50.072
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",28463300,209400,17,76.409
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",32286100,230600,13,52.038
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",36355800,237300,18,71.639
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",40270700,214700,12,51.234
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",43902900,236400,14,54.992
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",47773500,277500,18,61.261
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",51262400,235800,13,50.891
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",55137100,237500,21,84.211
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",58969100,271200,14,47.935
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",62639600,279300,16,53.706
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",66566400,239800,19,75.063
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",70239500,191600,14,67.85
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",74021700,255100,18,66.641
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",77905100,312100,21,64.082
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",81646000,256900,16,58.388
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",85494200,209700,12,52.456
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",89237100,181300,16,82.736
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",93140200,194100,13,61.824
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",96773900,275500,18,61.706
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",100544100,137500,14,94.545
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",104552500,253300,19,71.062
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",108430300,93600,7,64.103
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",112178200,263600,10,34.143
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",115822500,265800,20,71.482
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",119678900,269800,17,59.303
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",123493200,262600,16,57.121
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",127212700,224100,18,75.859
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",131034500,404400,11,24.728
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",134858400,258700,17,61.848
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",138669800,201400,13,59.583
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",142665400,274600,15,50.983
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",146386700,303800,9,26.333
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",150289200,189600,12,58.017
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",154292400,210200,15,66.603
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",158175200,237200,14,54.806
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",165400300,193900,10,46.416
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",169329300,210500,17,76.01
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",173109400,174500,10,51.576
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",176830500,326300,13,36.776
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",180922200,238400,12,46.141
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",184898300,240300,16,62.422
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",188882000,264700,22,79.335
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",192820500,290000,14,44.828
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",196588300,262400,13,45.732
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",200544600,256100,10,35.143
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",204473400,238200,6,20.991
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",208792700,290800,18,58.459
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",212581400,246200,20,77.173
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",216549500,318000,12,34.591
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",220784200,233300,18,72.868
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",224521600,354100,13,33.889
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",228337900,204500,9,39.12
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",232376600,255200,16,58.777
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",236240700,268400,16,55.887
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",239984500,428000,15,32.71
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",244418400,366900,13,32.706
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",248593100,262300,15,53.374
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",252410900,301200,12,36.521
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",256344400,128900,10,69.822
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",260195900,329800,18,51.546
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",263899900,303200,13,39.578
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",268136600,230800,16,64.991
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",272051000,237800,10,37.847
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",275937300,331800,12,33.153
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",280708700,144200,13,83.218
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",284515700,294300,13,40.775
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",288516000,250100,12,43.982
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",292588600,241000,12,45.643
